draft	milestone	type	size	title	covers	justification	assigned
CAP-@spike-capability-os-survey	V0.5	spike	M	Survey KeyKOS, EROS, CapROS, Capsicum, Barrelfish and Theseus Capability patterns	INV-1150	Critique moves research studies not informing a V0 surface to V0.5 non-gating; this survey informs the V0.5 persistence ADR (KeyKOS/EROS persistence) and confinement patterns.	CAP-026
CAP-@spike-cheri-abi-validation	V1	spike	M	Validate Capability ABI freeze candidates on QEMU-CHERI	GAP-0487	Critique: no L1 freeze before V4, freeze candidates at V1; this validates the candidates so the promise of hardware readiness is tested before candidacy. Re-run on the frozen ABI in capability-freeze-verification at V4.	CAP-038
CAP-@spike-cheri-escape-hatches	V0	spike	S	Study CHERI capability hardware for ABI escape hatches	INV-1143	Critique names CHERI escape hatches as a V0 spike that must precede the handle-representation ADR so the ABI reserves a sealed-pointer layout (§8, §65 rule 8).	CAP-012
CAP-@spike-cheri-morello-mapping	V1	spike	M	Prototype Capability<T> and MemoryObject mapping on a CHERI/Morello emulator	INV-0719	Concrete mapping prototype preceding the V1 hardware mapping ADR and the freeze-candidate validation.	CAP-039
CAP-@spike-cheri-pointer-mapping	V0.5	spike	S	Document how Capability<T> maps onto CHERI-style capability pointers	INV-0189	Feeds decide-hardware-readiness; establishes the mapping the readiness ADR lists as invariants.	CAP-027
CAP-@spike-formal-tooling	V0.5	spike	S	Evaluate Kani, TLA+ and Alloy for modelling the Capability derivation core	GAP-0131	GAP-0131 asks for the tooling evaluation; it must precede the V1 machine-checked model (formal-capability-model) so the model targets a chosen tool.	CAP-028
CAP-@spike-handle-representation	V0	spike	M	Prototype dense index, sparse token and sealed-pointer Capability handle layouts	GAP-0483	GAP-0483 requires the representation ADR to be backed by a prototype of each option; the V0 exit criterion demands an accepted handle-representation ADR.	CAP-013
CAP-@spike-hardware-provenance	V2	spike	S	Study hardware provenance tracking for Capability audit	INV-0192	§8 research item scheduled at its inventory rung; non-gating input to audit design.	CAP-045
CAP-@spike-revocation-strategies	V0	spike	M	Prototype and measure revocation strategies at one million derived Capabilities	GAP-0484	Derivation-tree walk, epoch indirection and lazy check-on-use must be measured before the revocation semantics ADR; results are published, not claimed.	CAP-014
CAP-@spike-sel4-capability-study	V0	spike	S	Study seL4 CSpaces, derivation trees, revocation and verification for CAP	INV-1132	Critique keeps the seL4 capability study among the six V0 research studies because it directly informs the V0 handle-representation and revocation ADRs.	CAP-015
CAP-@spike-tagged-memory	V1	spike	S	Study tagged memory implications for MemoryObject and Capability storage	INV-0190	Input to decide-hardware-capability-mapping; MEM consulted for MemoryObject implications.	CAP-040
CAP-@userselected-authority-gate	V0.5	build	S	Test that UserSelected<T> results carry authority with no path-based check	INV-0488	Standing invariant enforced by a test gate: the chooser (STO) returns a Capability and no subsequent path permission check exists; verifies the V0.5 chooser exit criterion and demo audit line.	CAP-029
CMP-@address-space-from-package	V0.5	build	M	Map immutable package objects directly into the Component AddressSpace	INV-1015,INV-0221	Workstream scope 'address space from packages': verified-once, shared, position-fixed package objects mapped without a loader stage so the Component launches immediately after mapping.	CMP-017
CMP-@bench-cold-startup	V0.5	benchmark	S	Benchmark native application cold startup	INV-0642	V0.5 benchmark gate 'cold startup measured and published' is a distinct metric from warm startup and needs its own harness and register entry.	CMP-018
CMP-@bench-component-creation	V0	benchmark	M	Benchmark Component creation latency p50/p99 on QEMU and reference hardware	INV-1295,GAP-0489	V0 benchmark gate: creation latency measured and published (publish-only in V0, register target p50 <= 200 us, conditional adr above 500 us); the harness is reused by V1 (<= 100 us), V4 and 1.0 gates and makes Principle 4 a tracked metric.	CMP-001
CMP-@bench-idle-component-memory	V0	benchmark	S	Benchmark resident memory overhead per idle Component	GAP-0491	V0 benchmark gate: memory overhead per idle Component measured and published; the register carries the per-component target (order of 512 KB) so component graphs with hundreds of Components remain viable.	CMP-002
CMP-@bench-warm-startup	V0.5	benchmark	M	Benchmark native application warm startup from click to first presented frame		V0.5 benchmark gate: warm startup measured for each of the four apps and published (register target p50 <= 20 ms for the smallest, §34); workstream scope names warm start under CMP and the same harness serves V1, V2, V4 and 1.0 gates.	CMP-019
CMP-@component-code-mapping	V0	build	M	Map immutable executable objects as Component Code	INV-0221	A Component contains Code as mapped immutable executable objects; in V0 the objects come from the retained initramfs (packages arrive at V0.5), mapped read-only and shared across instances.	CMP-003
CMP-@component-exit-causes	V0	build	M	Implement Component exit causes, teardown and the 100k leak test	EXTRA-004,INV-0070,INV-0046	Delivers typed exit causes (panic, stack overflow, OOM, cancelled, exited) observable through the Component handle, full resource reclamation on destroy, and the V0 exit test creating and destroying 100,000 Components with kernel memory growth under 1%.	CMP-004
CMP-@component-freeze-candidates	V1	build	M	Bring the Component L1 surface to freeze-candidate state with tests	INV-0168	Ladder: L1 surfaces become freeze candidates at V1 with SDK v1 and freeze only at V4; delivers the surface review and candidate conformance tests for Object<Component>, spawn, exit causes and code mapping under the ABI freeze process.	CMP-033
CMP-@component-fuzz-targets	V3	build	M	Add fuzz targets for the Component spawn, exit and code-mapping surface		V3 scope introduces continuous fuzzing (BLD infrastructure); CMP supplies the fuzz targets for its ABI surface so the 1.0 'no known open fuzzer crasher for 30 days' criterion is measurable.	CMP-049
CMP-@component-l1-conformance	V4	build	M	Ship the conformance suite for the frozen Component L1 surface		V4 exit: L1 frozen with a conformance suite; no L1 freeze happens before V4 per the critique, so the freeze-time conformance suite for Object<Component>, spawn and exit causes lands here.	CMP-052
CMP-@component-metrics-publication	1.0	docs	S	Publish reproducible Component creation, memory and startup metrics	INV-1295	1.0 benchmark gates require every §54 metric published against Linux, Windows and macOS with methodology, raw data and scripts; CMP delivers the reproducible package for its three metrics under BEN methodology.	CMP-054
CMP-@component-stability-statement	1.0	docs	S	Write the Component section of the ABI stability statement		1.0 exit publishes the ABI stability statement and explicit non-promises; the Component section states what is frozen, the status of the in-address-space class and what stays personality-only.	CMP-055
CMP-@component-wrapper-creation	V0	build	L	Implement Component creation as one kernel operation over Linux internals	INV-0145,INV-0222,INV-0226,INV-0434,INV-0997,INV-1155	Phase C initial implementation: a single native operation creates the AddressSpace, capability set, owned TaskGroup and ResourceDomain membership by wrapping task_struct, mm_struct, namespaces and cgroups; verifies the V0 exit criterion that a Component can be created, granted capabilities, run code and be destroyed.	CMP-005
CMP-@container-replacement-acceptance	V0.5	build	M	Verify the native isolation path needs no daemon, namespace, overlay or fork	INV-0439,INV-0990,INV-0992,INV-0993,INV-0995	Acceptance suite over the package-based launch path proving the §53 native isolation path (create ResourceDomain, create Component, attach capabilities, map package, schedule) involves no runtime daemon, namespace setup, overlay mount, image layers or fork/exec.	CMP-020
CMP-@creation-fast-path	V1	build	L	Implement the Component creation fast path to the register target	INV-1295,GAP-0489,INV-0631	V1 benchmark gate sets creation p50 <= 100 us; implements the mechanism chosen by decide-wrapper-vs-native (prewarmed templates, cached page tables, batched capability-table setup) and verifies it with bench-component-creation.	CMP-034
CMP-@creation-linux-baselines	V1	build	S	Publish Component creation beside fork+exec, clone and podman run	INV-1295	V1 benchmark gate requires creation latency published beside fork+exec, clone and container start on the same hardware; extends the V0 harness with the Linux baselines under BEN methodology, no superiority claim.	CMP-035
CMP-@decide-address-space-model	V0.5	adr	M	Decide whether every Component owns a hardware address space	INV-0231,GAP-0490,INV-0952	Determines whether an intra-address-space component class exists for plugins and decoders; V0 exit requires accepted adrs for all architectural choices and this one bounds isolation cost before applications are architected as component graphs. Depends on spike-in-address-space-isolation.	CMP-021
CMP-@decide-component-replaces-process	V0	adr	M	Decide what replaces PID, parent/child, exit status and process groups	INV-0070,INV-0035,INV-0220	Component replaces process as the unit of isolation; this adr fixes the native replacements for process identity, lineage, exit status and grouping (options: Object<Component> handles only, handle plus kernel-visible lineage, opaque identity with supervisor-held lineage) that every V0 build task assumes.	CMP-006
CMP-@decide-graph-declaration	V0.5	adr	M	Decide static manifest graphs versus dynamic child instantiation	INV-0245	Decides whether component graphs are declared in the package manifest, instantiated dynamically by a parent, or both with constraints on dynamic children; moved to V0.5 per the critique and precedes graph-instantiation.	CMP-022
CMP-@decide-isolation-without-containers	V0	adr	S	Decide Component plus ResourceDomain as the native isolation model	INV-0079,INV-0040,INV-0990,INV-0991,INV-0992,INV-0993	Records that container-based isolation is replaced by Component + ResourceDomain and that OCI containers live in the Linux personality; the §53 non-goals (no daemon, no namespace step, no overlay mount, no image layers) become the standing rules this adr adopts and lint-no-process-shapes enforces.	CMP-007
CMP-@decide-native-implementation-order	V2	adr	M	Decide the order and equivalence tests for replacing the Component wrapper	INV-0146	Phase C later: chooses which wrapper pieces (mm_struct, namespaces, cgroups, task_struct) are replaced first and the ABI-equivalence strategy; options include address-space-first, membership-first, and big-bang replacement.	CMP-042
